checkin_date,grand-season-inn-waupaca_price,grand-season-inn-waupaca_inventory,quality-inn-new-london-wisconsin_price,quality-inn-new-london-wisconsin_inventory,motel-6-wisconsin-rapids_price,motel-6-wisconsin-rapids_inventory,valley-inn-neenah_price,valley-inn-neenah_inventory,elizabeth-inn-and-convention-center_price,elizabeth-inn-and-convention-center_inventory
2026-01-01,67.2,2.0,73.1,2.0,69.98,1.0,63.3,2.0,61.0,2.0
2026-01-02,100.79,2.0,88.19,2.0,69.98,1.0,58.65,2.0,80.58,2.0
2026-01-03,100.79,2.0,89.46,2.0,69.98,1.0,51.68,2.0,80.58,2.0
2026-01-04,67.2,2.0,71.53,2.0,69.98,1.0,64.37,2.0,69.23,2.0
2026-01-05,76.27,2.0,80.22,2.0,69.98,1.0,54.0,2.0,69.23,2.0
2026-01-06,76.27,2.0,79.8,2.0,69.98,1.0,46.41,2.0,69.23,2.0
2026-01-07,67.2,2.0,79.14,2.0,69.98,1.0,53.37,2.0,61.0,2.0
2026-01-08,76.27,2.0,79.28,2.0,69.98,1.0,54.0,2.0,61.0,2.0
2026-01-09,91.71,2.0,97.91,2.0,69.98,1.0,51.0,2.0,80.58,2.0
2026-01-10,83.2,2.0,89.17,2.0,79.43,1.0,59.34,2.0,80.58,2.0
2026-01-11,67.2,2.0,71.53,2.0,79.43,1.0,47.13,2.0,69.23,2.0
2026-01-12,76.27,2.0,72.12,2.0,79.43,1.0,54.0,2.0,69.23,2.0
2026-01-13,67.2,2.0,79.8,2.0,69.98,1.0,46.41,2.0,61.0,2.0
2026-01-14,76.27,2.0,70.93,2.0,79.43,1.0,53.42,2.0,61.0,2.0
2026-01-15,67.2,2.0,71.1,2.0,79.43,1.0,54.0,2.0,61.0,2.0
2026-01-16,88.8,2.0,98.33,2.0,79.43,1.0,58.65,2.0,71.0,2.0
2026-01-17,100.79,2.0,89.46,2.0,69.98,1.0,59.43,2.0,55.16,2.0
2026-01-18,76.27,2.0,71.53,2.0,79.43,1.0,47.09,2.0,61.0,2.0
2026-01-19,76.27,2.0,72.0,2.0,69.98,1.0,47.09,2.0,61.0,2.0
2026-01-20,67.2,2.0,71.57,2.0,79.43,1.0,46.41,2.0,61.0,2.0
2026-01-22,67.2,2.0,71.1,2.0,79.43,1.0,47.05,2.0,69.23,2.0
2026-01-23,100.79,2.0,88.19,2.0,79.43,1.0,58.65,2.0,80.58,2.0
2026-01-25,67.2,2.0,71.53,2.0,69.98,1.0,54.3,2.0,61.0,2.0
2026-01-26,76.27,2.0,80.22,2.0,69.98,1.0,46.54,2.0,69.23,2.0
