checkin_date,quality-inn-new-london_available_rooms,quality-inn-new-london_total_price,econo-lodge-mount-laurel---philadelphia-east_available_rooms,econo-lodge-mount-laurel---philadelphia-east_total_price,ramada-by-wyndham-waupaca_available_rooms,ramada-by-wyndham-waupaca_total_price
2025-11-03,,10074.0,,11381.0,,7526.0
2025-11-04,5.0,5399.0,,11381.0,8.0,7708.0
2025-11-05,5.0,10074.0,5.0,7109.0,7.4,7108.0
2025-11-06,5.0,10074.0,5.0,7357.0,6.8,7022.0
2025-11-07,5.0,11083.0,5.0,8352.0,6.2,9763.0
2025-11-08,5.0,6598.0,5.0,8177.0,5.6,9335.0
2025-11-09,5.0,10074.0,5.0,7109.0,5.0,8307.0
2025-11-10,5.0,10074.0,5.0,7357.0,4.4,11219.0
2025-11-11,5.0,4855.0,5.0,10670.0,3.8,6937.0
2025-11-12,5.0,9268.0,5.0,11381.0,3.2,6937.0
2025-11-13,5.0,4913.0,5.0,7029.0,2.6000000000000005,7022.0
2025-11-14,5.0,10196.0,5.0,10670.0,2.0,11601.0
2025-11-15,5.0,10196.0,5.0,10670.0,2.0,11815.0
