checkin_date,quality-inn-new-london_available_rooms,quality-inn-new-london_total_price,econo-lodge-mount-laurel---philadelphia-east_available_rooms,econo-lodge-mount-laurel---philadelphia-east_total_price,ramada-by-wyndham-waupaca_available_rooms,ramada-by-wyndham-waupaca_total_price
2025-11-10,,10074.0,,10670.0,2.0,11083.0
2025-11-11,,10074.0,,10670.0,2.0,6937.0
2025-11-12,5.0,4859.0,,11381.0,2.0,6937.0
2025-11-13,5.0,4913.0,5.0,7029.0,2.0,7022.0
2025-11-14,5.0,10196.0,5.0,10670.0,2.0,11904.0
2025-11-15,5.0,6303.0,5.0,10670.0,2.0,11815.0
2025-11-16,5.0,4859.0,5.0,7357.0,2.0,7108.0
2025-11-17,5.0,9268.0,5.0,11381.0,2.0,6851.0
2025-11-18,5.0,9268.0,5.0,11381.0,2.0,6851.0
2025-11-19,5.0,4851.0,5.0,11381.0,2.0,6851.0
2025-11-20,5.0,9268.0,5.0,7357.0,2.0,6937.0
2025-11-21,5.0,9732.0,5.0,8167.0,2.0,11746.0
2025-11-22,5.0,10196.0,5.0,8177.0,2.0,14453.0
